name,Omegab,Omegac,H0,ns,As,w,wa,mnu,Nncdm,Nur,Omeganu,OmegaM,sigma8_m,sigma8_cb
c0000,0.048975,0.260718,67.66,0.9665,2.1050e-09,-1.0,0.0,0.06,1.0,2.0328,0.001407,0.3111,0.810061,0.813549
c0001,0.04,0.2,60.0,0.92,1.7000e-09,-1.3,-0.5,0.0,0.0,3.046,0.0,0.24,0.605922,0.605922
c0002,0.05,0.27,70.0,0.96,2.1000e-09,-1.0,0.0,0.15,1.0,2.0328,0.003287,0.323287,0.83564,0.842774
c0003,0.055,0.225,65.0,0.94,2.3000e-09,-0.85,-0.25,0.225,1.0,2.0328,0.005718,0.285718,0.661292,0.671315
c0004,0.045,0.315,75.0,0.98,1.9000e-09,-1.15,0.25,0.075,1.0,2.0328,0.001432,0.361432,1.001601,1.005304
c0005,0.0475,0.2525,72.5,0.99,2.0000e-09,-1.225,-0.125,0.2625,1.0,2.0328,0.005362,0.305362,0.852846,0.863672
c0006,0.0575,0.3225,62.5,0.95,2.4000e-09,-0.925,0.375,0.1125,1.0,2.0328,0.003092,0.383092,0.813822,0.819568
c0007,0.0525,0.2075,77.5,0.97,2.2000e-09,-0.775,-0.375,0.0375,1.0,2.0328,0.00067,0.26067,0.79669,0.798697
c0008,0.0425,0.2975,67.5,0.93,1.8000e-09,-1.075,0.125,0.1875,1.0,2.0328,0.004418,0.344418,0.798795,0.806882
c0009,0.04375,0.24625,78.75,0.955,2.1500e-09,-1.1125,-0.0625,0.28125,1.0,2.0328,0.004869,0.294869,0.93707,0.948073
c0010,0.05375,0.31625,68.75,0.995,1.7500e-09,-0.8125,0.4375,0.13125,1.0,2.0328,0.002981,0.372981,0.729765,0.734778
c0011,0.05875,0.19125,73.75,0.935,1.9500e-09,-0.9625,-0.3125,0.05625,1.0,2.0328,0.00111,0.25111,0.672258,0.675103
c0012,0.04875,0.28125,63.75,0.975,2.3500e-09,-1.2625,0.1875,0.20625,1.0,2.0328,0.005449,0.335449,0.840985,0.851471
c0013,0.04625,0.22375,66.25,0.965,2.4500e-09,-1.0375,-0.4375,0.01875,1.0,2.0328,0.000459,0.270459,0.819894,0.821273
c0014,0.05625,0.29375,76.25,0.925,2.0500e-09,-0.7375,0.0625,0.16875,1.0,2.0328,0.003116,0.353116,0.841887,0.847932
c0015,0.05125,0.25875,61.25,0.985,1.8500e-09,-0.8875,-0.1875,0.24375,1.0,2.0328,0.006976,0.316976,0.625176,0.635279
c0016,0.04125,0.34875,71.25,0.945,2.2500e-09,-1.1875,0.3125,0.09375,1.0,2.0328,0.001983,0.391983,1.084187,1.08915
c0017,0.041875,0.273125,69.375,0.9725,1.9250e-09,-0.71875,0.03125,0.253125,1.0,2.0328,0.005647,0.320647,0.727424,0.73685
c0018,0.051875,0.343125,79.375,0.9325,2.3250e-09,-1.01875,-0.46875,0.103125,1.0,2.0328,0.001757,0.396757,1.182924,1.187598
c0019,0.056875,0.218125,64.375,0.9925,2.1250e-09,-1.16875,0.28125,0.028125,1.0,2.0328,0.000729,0.275729,0.689524,0.691321
c0020,0.046875,0.308125,74.375,0.9525,1.7250e-09,-0.86875,-0.21875,0.178125,1.0,2.0328,0.003457,0.358457,0.870388,0.877135
c0021,0.049375,0.205625,76.875,0.9425,1.8250e-09,-0.79375,0.40625,0.065625,1.0,2.0328,0.001192,0.256192,0.604445,0.607119
c0022,0.059375,0.275625,66.875,0.9825,2.2250e-09,-1.09375,-0.09375,0.215625,1.0,2.0328,0.005176,0.340176,0.813567,0.822932
c0023,0.054375,0.240625,71.875,0.9225,2.4250e-09,-1.24375,0.15625,0.290625,1.0,2.0328,0.00604,0.30104,0.839721,0.851279
c0024,0.044375,0.330625,61.875,0.9625,2.0250e-09,-0.94375,-0.34375,0.140625,1.0,2.0328,0.003944,0.378944,0.828662,0.835913
c0025,0.043125,0.221875,70.625,0.9875,2.3750e-09,-0.90625,0.46875,0.046875,1.0,2.0328,0.001009,0.266009,0.747955,0.750707
c0026,0.053125,0.291875,60.625,0.9475,1.9750e-09,-1.20625,-0.03125,0.196875,1.0,2.0328,0.005751,0.350751,0.726636,0.735799
c0027,0.058125,0.246875,75.625,0.9675,1.7750e-09,-1.05625,0.21875,0.271875,1.0,2.0328,0.005104,0.310104,0.748311,0.757067
c0028,0.048125,0.336875,65.625,0.9275,2.1750e-09,-0.75625,-0.28125,0.121875,1.0,2.0328,0.003038,0.388038,0.872232,0.878134
c0029,0.045625,0.239375,63.125,0.9375,2.2750e-09,-0.98125,0.09375,0.234375,1.0,2.0328,0.006315,0.291315,0.686828,0.697963
c0030,0.055625,0.309375,73.125,0.9775,1.8750e-09,-1.28125,-0.40625,0.084375,1.0,2.0328,0.001694,0.366694,0.958484,0.962552
c0031,0.050625,0.194375,68.125,0.9575,2.0750e-09,-1.13125,0.34375,0.009375,1.0,2.0328,0.000217,0.245217,0.672344,0.67294
c0032,0.040625,0.284375,78.125,0.9975,2.4750e-09,-0.83125,-0.15625,0.159375,1.0,2.0328,0.002804,0.327804,1.085289,1.093079
c0033,0.040938,0.241562,74.0625,0.96375,1.8125e-09,-0.746875,0.296875,0.201562,1.0,2.0328,0.003945,0.286445,0.66661,0.673949
c0034,0.050938,0.311562,64.0625,0.92375,2.2125e-09,-1.046875,-0.203125,0.051562,1.0,2.0328,0.001349,0.363849,0.871114,0.874208
c0035,0.055938,0.186562,79.0625,0.98375,2.4125e-09,-1.196875,0.046875,0.126562,1.0,2.0328,0.002174,0.244674,0.830594,0.837094
c0036,0.045938,0.276562,69.0625,0.94375,2.0125e-09,-0.896875,-0.453125,0.276562,1.0,2.0328,0.006225,0.328725,0.80519,0.815864
